label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
Hello,0.0,0.0,0.0,-0.106651,-0.113412,-0.04418,-0.179514,-0.284295,-0.072633,-0.211653,-0.446761,-0.098619,-0.239318,-0.592782,-0.124014,-0.086676,-0.494397,-0.048302,-0.10051,-0.713936,-0.090272,-0.110263,-0.839714,-0.122681,-0.117234,-0.952471,-0.146447,-0.009879,-0.495974,-0.05673,-0.016454,-0.728618,-0.096742,-0.022826,-0.865649,-0.128541,-0.029017,-0.988055,-0.151348,0.06507,-0.454475,-0.071412,0.067662,-0.679741,-0.113116,0.061303,-0.820371,-0.138332,0.052091,-0.947583,-0.154339,0.143188,-0.379799,-0.089622,0.166856,-0.564792,-0.128024,0.172462,-0.687698,-0.145486,0.173383,-0.803157,-0.155742
Hello,0.0,0.0,0.0,-0.100212,-0.110798,-0.036245,-0.177544,-0.270785,-0.057935,-0.232491,-0.408022,-0.079108,-0.283768,-0.504613,-0.100282,-0.087737,-0.504375,-0.024014,-0.105124,-0.707479,-0.053422,-0.114042,-0.827646,-0.079923,-0.121317,-0.930031,-0.099978,-0.018907,-0.516314,-0.031465,-0.022999,-0.743077,-0.057399,-0.026055,-0.880017,-0.082703,-0.028483,-0.994385,-0.101921,0.048442,-0.477627,-0.045481,0.05507,-0.68947,-0.073629,0.054812,-0.819598,-0.097047,0.050241,-0.93235,-0.113159,0.115468,-0.402772,-0.063176,0.149184,-0.562497,-0.086353,0.163772,-0.670432,-0.099323,0.171842,-0.772639,-0.108396
Hello,0.0,0.0,0.0,-0.096743,-0.117553,-0.038503,-0.172933,-0.282018,-0.059914,-0.225314,-0.4263,-0.08067,-0.279338,-0.519011,-0.101294,-0.076979,-0.514635,-0.020707,-0.092351,-0.721011,-0.047573,-0.09955,-0.842373,-0.073005,-0.104366,-0.946959,-0.092909,-0.008262,-0.524908,-0.026414,-0.007178,-0.754079,-0.048993,-0.005486,-0.887245,-0.071711,-0.002868,-0.995971,-0.089628,0.057343,-0.483576,-0.03934,0.066111,-0.694567,-0.064622,0.067456,-0.817113,-0.085633,0.066486,-0.923899,-0.100518,0.123006,-0.405987,-0.056711,0.159459,-0.56153,-0.077002,0.177785,-0.66296,-0.088471,0.192118,-0.760658,-0.097123
Hello,0.0,0.0,0.0,-0.09478,-0.114278,-0.041383,-0.169549,-0.271263,-0.065982,-0.222014,-0.413471,-0.089399,-0.276094,-0.510703,-0.112567,-0.068934,-0.503699,-0.026784,-0.081632,-0.714242,-0.055598,-0.086232,-0.839318,-0.081939,-0.089949,-0.947039,-0.102426,-0.001249,-0.511015,-0.031577,0.000634,-0.742214,-0.056993,0.0019,-0.880176,-0.081378,0.002603,-0.994984,-0.1,0.063687,-0.468772,-0.043376,0.068926,-0.682354,-0.070957,0.069111,-0.810385,-0.092479,0.066837,-0.923345,-0.107381,0.129594,-0.390826,-0.059674,0.16424,-0.546405,-0.081768,0.180733,-0.649213,-0.093556,0.192987,-0.748564,-0.102108
Hello,0.0,0.0,0.0,-0.091343,-0.113218,-0.040092,-0.164673,-0.277461,-0.063859,-0.215645,-0.420175,-0.086822,-0.267824,-0.514744,-0.110137,-0.070554,-0.510561,-0.028785,-0.084135,-0.720554,-0.058301,-0.089531,-0.841865,-0.085377,-0.092505,-0.948522,-0.106602,-0.002511,-0.517532,-0.034307,-0.000974,-0.75011,-0.0599,0.000652,-0.882379,-0.084164,0.003539,-0.994602,-0.103703,0.062177,-0.473977,-0.046655,0.071103,-0.690636,-0.074096,0.070114,-0.809906,-0.094979,0.067198,-0.916554,-0.110037,0.127276,-0.393449,-0.063507,0.161285,-0.553849,-0.085523,0.177863,-0.655587,-0.097525,0.190912,-0.755996,-0.106847
Hello,0.0,0.0,0.0,-0.0954,-0.119448,-0.040277,-0.168944,-0.282294,-0.064776,-0.222,-0.427701,-0.088675,-0.276704,-0.525815,-0.112349,-0.075926,-0.512835,-0.024527,-0.089954,-0.71928,-0.054659,-0.096022,-0.840842,-0.082683,-0.098808,-0.947342,-0.104427,-0.0094,-0.521392,-0.030097,-0.010535,-0.749064,-0.055778,-0.011068,-0.882219,-0.080188,-0.00963,-0.994992,-0.099492,0.054905,-0.48037,-0.042877,0.061519,-0.695173,-0.069937,0.059524,-0.814947,-0.089706,0.055673,-0.919531,-0.103753,0.120397,-0.402487,-0.060437,0.152252,-0.56169,-0.082581,0.16575,-0.66569,-0.094065,0.174692,-0.766003,-0.102475
Hello,0.0,0.0,0.0,-0.095332,-0.115666,-0.039137,-0.16922,-0.280831,-0.063037,-0.220815,-0.420097,-0.087126,-0.275409,-0.510959,-0.111349,-0.079944,-0.513837,-0.023479,-0.094418,-0.712449,-0.053894,-0.100648,-0.827253,-0.082739,-0.105346,-0.931267,-0.105111,-0.01412,-0.524648,-0.029843,-0.017068,-0.747742,-0.056066,-0.018695,-0.879823,-0.081096,-0.01806,-0.994726,-0.100964,0.049494,-0.486401,-0.043347,0.054686,-0.699864,-0.070269,0.051008,-0.82201,-0.09064,0.046206,-0.929968,-0.105201,0.113965,-0.410646,-0.06171,0.143346,-0.56854,-0.082687,0.156175,-0.671023,-0.093771,0.165031,-0.768978,-0.102247
Hello,0.0,0.0,0.0,-0.099457,-0.117911,-0.037313,-0.179433,-0.289762,-0.058942,-0.233837,-0.429792,-0.081177,-0.289237,-0.522362,-0.102917,-0.091017,-0.519237,-0.017333,-0.108268,-0.719012,-0.043706,-0.114096,-0.833817,-0.069389,-0.118536,-0.93753,-0.089815,-0.0256,-0.535232,-0.023611,-0.032394,-0.758464,-0.046091,-0.033779,-0.887492,-0.068652,-0.032601,-0.995677,-0.086973,0.038685,-0.503597,-0.037221,0.037199,-0.714014,-0.060824,0.03324,-0.8345,-0.080317,0.029208,-0.937187,-0.094685,0.104199,-0.433229,-0.055802,0.130081,-0.588819,-0.073666,0.141848,-0.687101,-0.084042,0.150056,-0.779063,-0.092522
Hello,0.0,0.0,0.0,-0.099905,-0.117258,-0.032833,-0.177404,-0.29217,-0.049792,-0.230089,-0.434246,-0.068107,-0.286108,-0.521916,-0.086106,-0.092876,-0.520711,-0.00683,-0.110184,-0.714944,-0.030468,-0.115849,-0.826503,-0.055494,-0.120106,-0.927551,-0.075871,-0.027415,-0.539574,-0.014018,-0.035843,-0.757356,-0.034766,-0.038963,-0.886318,-0.058185,-0.039293,-0.99624,-0.077218,0.037178,-0.511125,-0.028472,0.034747,-0.717506,-0.051559,0.029064,-0.837564,-0.072295,0.022785,-0.939466,-0.087347,0.102644,-0.444619,-0.047439,0.126715,-0.597482,-0.064973,0.137453,-0.694813,-0.075753,0.144487,-0.785474,-0.084508
Hello,0.0,0.0,0.0,-0.104597,-0.116452,-0.028382,-0.181802,-0.291138,-0.042329,-0.235648,-0.434556,-0.058308,-0.29402,-0.5194,-0.073732,-0.100573,-0.525312,0.003321,-0.118549,-0.717579,-0.015344,-0.124972,-0.828946,-0.037654,-0.129339,-0.927575,-0.056322,-0.034149,-0.546102,-0.004585,-0.042846,-0.761424,-0.019501,-0.046288,-0.891294,-0.040288,-0.049474,-0.997095,-0.057915,0.031431,-0.520062,-0.019577,0.02856,-0.721261,-0.036578,0.021305,-0.838404,-0.055774,0.01116,-0.933324,-0.070535,0.098063,-0.456985,-0.038895,0.119371,-0.608895,-0.051454,0.12735,-0.707302,-0.060489,0.130754,-0.79634,-0.068301
